,weight
ONGC.NS,0.1140957910394501
HINDALCO.NS,0.08769878130642639
JSWSTEEL.NS,0.11919449032421812
VEDL.NS,0.03908033447356546
SUNPHARMA.NS,0.17318421391746733
SHREECEM.NS,0.03339319742958151
NESTLEIND.NS,0.10728668234032969
BRITANNIA.NS,0.05028939964046254
HINDUNILVR.NS,0.18000515859895228
ASIANPAINT.NS,0.0957719509295466
