Date,ASIANPAINT.NS,BRITANNIA.NS,BZ=F,HINDALCO.NS,HINDUNILVR.NS,JSWSTEEL.NS,NESTLEIND.NS,ONGC.NS,SHREECEM.NS,SUNPHARMA.NS,VEDL.NS
2018-01-01,1062.9544677734375,2061.89208984375,,255.8974151611328,1172.3109130859375,241.23561096191406,352.48919677734375,120.28316497802734,17332.30859375,530.2835083007812,116.53333282470703
2018-01-02,1062.1181640625,2026.1219482421875,66.56999969482422,256.605224609375,1167.1666259765625,240.1011505126953,352.5048828125,123.09712982177734,17401.232421875,528.5283203125,117.35687255859375
2018-01-03,1061.3284912109375,2036.95751953125,67.83999633789062,260.94647216796875,1177.4117431640625,243.86761474609375,352.3503112792969,120.97100067138672,17497.13671875,525.664794921875,119.05768585205078
2018-01-04,1089.35107421875,2013.2196044921875,68.06999969482422,264.0608215332031,1179.0684814453125,251.53665161132812,352.7603454589844,124.75428009033203,17379.962890625,536.888427734375,121.42096710205078
2018-01-05,1101.6192626953125,2020.922119140625,67.62000274658203,260.8520812988281,1182.81787109375,258.7520446777344,352.1999816894531,124.09768676757812,18333.291015625,534.6251831054688,121.58209228515625
2018-01-08,1098.598876953125,2042.527587890625,67.77999877929688,260.6161193847656,1193.1500244140625,259.56878662109375,355.98345947265625,123.44107818603516,18729.498046875,546.4954833984375,121.83273315429688
2018-01-09,1108.8692626953125,2019.986572265625,68.81999969482422,256.2276916503906,1186.9595947265625,257.7536315917969,348.7259216308594,123.19092559814453,18783.396484375,541.7843017578125,120.9197006225586
2018-01-10,1094.3233642578125,2034.259521484375,69.19999694824219,253.67959594726562,1190.88330078125,256.66455078125,351.747314453125,123.75373077392578,18852.7109375,540.490966796875,119.88125610351562
2018-01-11,1105.058349609375,2054.625,69.26000213623047,252.68862915039062,1202.0875244140625,256.43768310546875,352.98675537109375,123.75373077392578,18885.865234375,543.1237182617188,119.55896759033203
2018-01-12,1105.755615234375,2048.859130859375,69.87000274658203,253.72677612304688,1198.0328369140625,260.2947998046875,349.1742248535156,125.53594970703125,18244.1640625,538.9667358398438,121.58209228515625
2018-01-15,1119.0931396484375,2053.885498046875,,251.69773864746094,1192.1038818359375,258.6611633300781,347.77105712890625,122.94080352783203,18446.396484375,532.5005493164062,121.45672607421875
2018-01-16,1104.8724365234375,2035.39111328125,69.1500015258789,245.89364624023438,1205.0086669921875,255.21240234375,348.5174255371094,123.31603240966797,18468.392578125,533.6552124023438,118.21623992919922
2018-01-17,1109.519775390625,2066.91796875,69.37999725341797,247.9699249267578,1195.59130859375,258.7065734863281,347.94818115234375,122.37799835205078,18343.4453125,539.2439575195312,119.91708374023438
2018-01-18,1104.4078369140625,2015.43896484375,69.30999755859375,239.61776733398438,1183.1666259765625,253.9417724609375,346.7960510253906,121.37751007080078,17827.25390625,532.7315673828125,116.98090362548828
