,tau,confidence,Ann. Return,Ann. Vol,Sharpe,Sortino,Max DD,Calmar,Hit Rate,Obs
0,0.025,0.1,0.16913983331260063,0.16935859645646717,0.6359852011204913,0.8996036189066046,-0.31261391913959397,0.5410502314744127,0.5233029381965553,1974.0
1,0.025,0.25,0.16687211770141386,0.16753872410292206,0.6294107328121739,0.8929012743752203,-0.2992937236003838,0.5575530141227454,0.5197568389057751,1974.0
2,0.025,0.5,0.16441209610931806,0.16458087198506297,0.6248413298805325,0.8890678443139962,-0.2786795689064551,0.5899682447280754,0.5187436676798379,1974.0
3,0.025,1.0,0.16022041655813446,0.1615957629256271,0.6109876641453407,0.8718359991215087,-0.257210165040535,0.6229163475435916,0.516210739614995,1974.0
4,0.025,2.0,0.1560145197853915,0.15884052530625634,0.595893081882797,0.8525069451681274,-0.24064088246339327,0.6483292372779788,0.5167173252279635,1974.0
5,0.025,5.0,0.15116301168960145,0.15628679400829035,0.5761026427822117,0.8259261603884571,-0.2282114514248921,0.6623813605574106,0.5131712259371833,1974.0
6,0.05,0.1,0.16913983331260063,0.16935859645646717,0.6359852011204913,0.8996036189066046,-0.31261391913959397,0.5410502314744127,0.5233029381965553,1974.0
7,0.05,0.25,0.16687211770141386,0.16753872410292206,0.6294107328121739,0.8929012743752203,-0.2992937236003838,0.5575530141227454,0.5197568389057751,1974.0
8,0.05,0.5,0.16441209610931806,0.16458087198506297,0.6248413298805325,0.8890678443139962,-0.2786795689064551,0.5899682447280754,0.5187436676798379,1974.0
9,0.05,1.0,0.16022041655813446,0.1615957629256271,0.6109876641453407,0.8718359991215087,-0.257210165040535,0.6229163475435916,0.516210739614995,1974.0
10,0.05,2.0,0.1560145197853915,0.15884052530625634,0.595893081882797,0.8525069451681274,-0.24064088246339327,0.6483292372779788,0.5167173252279635,1974.0
11,0.05,5.0,0.15116301168960145,0.15628679400829035,0.5761026427822117,0.8259261603884571,-0.2282114514248921,0.6623813605574106,0.5131712259371833,1974.0
12,0.1,0.1,0.16913983331260063,0.16935859645646717,0.6359852011204913,0.8996036189066046,-0.31261391913959397,0.5410502314744127,0.5233029381965553,1974.0
13,0.1,0.25,0.16687211770141386,0.16753872410292206,0.6294107328121739,0.8929012743752203,-0.2992937236003838,0.5575530141227454,0.5197568389057751,1974.0
14,0.1,0.5,0.16441209610931806,0.16458087198506297,0.6248413298805325,0.8890678443139962,-0.2786795689064551,0.5899682447280754,0.5187436676798379,1974.0
15,0.1,1.0,0.16022041655813446,0.1615957629256271,0.6109876641453407,0.8718359991215087,-0.257210165040535,0.6229163475435916,0.516210739614995,1974.0
16,0.1,2.0,0.1560145197853915,0.15884052530625634,0.595893081882797,0.8525069451681274,-0.24064088246339327,0.6483292372779788,0.5167173252279635,1974.0
17,0.1,5.0,0.15116301168960145,0.15628679400829035,0.5761026427822117,0.8259261603884571,-0.2282114514248921,0.6623813605574106,0.5131712259371833,1974.0
