,ONGC.NS,HINDALCO.NS,JSWSTEEL.NS,VEDL.NS,SUNPHARMA.NS,SHREECEM.NS,NESTLEIND.NS,BRITANNIA.NS,HINDUNILVR.NS,ASIANPAINT.NS
2018-12-20,0.11663349456778577,0.056585491679951756,0.12184559844922654,0.030777025630019928,0.1862086828361139,0.024963396034372542,0.12049494487812888,0.06058045831703357,0.18400880958321403,0.09790209802415308
2019-01-21,0.11596344600758693,0.05900385530587586,0.11032976511280843,0.03972004764940681,0.1897803978572597,0.02312397508915985,0.11985871948202902,0.061928437788641634,0.1829516961152345,0.0973396595919972
2019-02-19,0.1155835644208124,0.05854451470716444,0.10785280808655955,0.03958992979548572,0.19270062625935433,0.02093269320478245,0.1215816081376349,0.06384109872240609,0.18235236949105985,0.09702078717474037
2019-03-20,0.11626391918363947,0.052453547654892074,0.10730746599029667,0.03982296636458027,0.1943842285008429,0.01987571682520635,0.12347746056481478,0.06539707557310971,0.1834257427143005,0.09759187662831723
2019-04-18,0.11622328218992532,0.0539509356269391,0.10772042955800609,0.039809047294543876,0.19315008856628632,0.02031923986025654,0.12298383219864022,0.06492374767724796,0.1833616310723912,0.09755776595576351
2019-05-20,0.1160679925131073,0.05345751627616864,0.1081673905214941,0.03975585714217225,0.18926522242373028,0.020882980372952883,0.1276128779324658,0.06424611125887512,0.18311663568167838,0.0974274158773551
2019-06-18,0.11482871362018557,0.05740338890110543,0.11056433576374781,0.02993554678487383,0.18369253552084638,0.03360770690636533,0.1324108644307183,0.060008275957399965,0.18116146633111418,0.09638716578364309
2019-07-17,0.1136524437923578,0.07896605388642651,0.11033937858345547,0.019642571978137676,0.18090321632016348,0.03326343995108782,0.13004144566177384,0.05848594005832358,0.17930570430006684,0.0953998054682069
2019-08-15,0.11493089196271944,0.08024131994475073,0.09233216934857001,0.03126702028447035,0.17445180052710985,0.03363761214243208,0.12848738967546475,0.05875683741107659,0.1894220244692529,0.09647293423415351
2019-09-16,0.11465701148904639,0.07978178591611643,0.11143241770375226,0.018245323169168517,0.17403608164643672,0.03355745366641696,0.12392279829329116,0.05888513863949291,0.18923895037713584,0.09624303909914277
2019-10-15,0.11595306922523413,0.08209081330970978,0.09550483568135928,0.03268094393701025,0.17600334738155637,0.033936779770126206,0.11838481514688838,0.058143571778750076,0.18293532500867332,0.10436649876069214
2019-11-12,0.11604820043623162,0.07953440220468323,0.09081957878901842,0.030083995563413672,0.18581282791074585,0.03396462247388942,0.12242512464806293,0.05114995282583449,0.18308541037612988,0.10707588477199047
2019-12-11,0.10531218472280167,0.08897947233235794,0.08950203328606864,0.029201255442257174,0.17571327378914564,0.03388084808604637,0.12568321706575664,0.05102379049355783,0.1930836073445265,0.10762031743748167
2020-01-10,0.11405638708758899,0.08766849378639252,0.08885016558671645,0.026951924487649024,0.16100949001618328,0.033381664804828126,0.11936454323208524,0.05027203176856732,0.19205790554643498,0.1263873936835541
2020-02-10,0.09731218349043377,0.08712929442382979,0.11842048072332886,0.006737125554507511,0.1560169056916445,0.03317635304906884,0.12263270532148211,0.049962836910601494,0.19487897184429334,0.13373314299080988
2020-03-10,0.09867653713351107,0.08821155990182888,0.10380504873515126,-0.004378728876990595,0.17419682956201307,0.03358844890991968,0.12400036921392611,0.05058344395130817,0.1971440335716334,0.12541500014371776
2020-04-08,0.11488387069035301,0.08830453217880287,0.11021360727352783,0.016674673601053056,0.16457624736206652,0.03362385010426033,0.1178319105948477,0.05063675734885541,0.19105266613004984,0.11220188471618348
2020-05-08,0.10723274991521889,0.08794131883047483,0.1123455500333395,0.022300219506849277,0.17366316778458138,0.033485548808973274,0.10758339166639555,0.057607060276435015,0.18768155784610305,0.1101594353316292
2020-06-09,0.1143507802449432,0.0821302334255023,0.11369633124331666,0.024606665227272236,0.1735712580381002,0.033467826868615845,0.10752645407634857,0.05616633310078958,0.18617198985494207,0.10831212792016941
2020-07-08,0.11435649994708352,0.08201142576775891,0.11357910248758783,0.024257579135434384,0.1735799398843802,0.033469500893056656,0.10753183243308655,0.056292058202958815,0.1863042176992144,0.1086178435494387
2020-08-06,0.11423736715521567,0.08200282807793664,0.1135376186438338,0.0240840738842832,0.17339911008580997,0.03343463348205994,0.1074198093524729,0.05615657593074935,0.1860332930905858,0.10969469029705264
2020-09-04,0.11444021329256084,0.0819243712622113,0.11351515673255648,0.022963483124109025,0.17370700706011774,0.03349400185183484,0.11364969720599485,0.05044120881917084,0.1865876895502483,0.10927717110119585
2020-10-05,0.11448658415072831,0.08166943609765727,0.11327302206697229,0.02184964626735641,0.17377739265933392,0.03350757352882332,0.10765415335751981,0.056791372542686326,0.18695142505980164,0.11003939426912071
2020-11-03,0.1144199632471191,0.08192580261588372,0.1135109981382291,0.024026082502954533,0.17367626983335685,0.033488075132196655,0.1075915083146343,0.0564544342766479,0.18653874534006626,0.10836812059891139
2020-12-01,0.11444377083079131,0.08194225746340396,0.11353402497864148,0.024175876070720748,0.17371240699166907,0.03349504306093997,0.1076138950884459,0.056466772473408824,0.18657815043172998,0.10803780261024877
2020-12-31,0.11451195942959277,0.0819883267675058,0.11359891748600698,0.02436049413089286,0.17381590939762112,0.03351500028566713,0.10767801426823545,0.05650317089773128,0.18669207262590748,0.10733613471083908
2021-01-29,0.11463460508423302,0.08253158990609637,0.11417603649093278,0.02518484228567445,0.1740020713155646,0.03355089583029653,0.10779334056791645,0.05610823619992402,0.18643657404602884,0.10558180827333308
