,BL,MarketCap,EqualWeight
2018-12-20,-0.000461936671658218,-0.0011184318449604482,-0.0036886647564492105
2018-12-21,-0.01189384907830837,-0.011488303283515085,-0.012367416377505125
2018-12-24,-0.015269055880587287,-0.016034250203928013,-0.017306302696376445
2018-12-26,-0.004111272209697538,-0.0033307719203100163,-0.0006937014482242712
2018-12-27,0.004951992848314216,0.00497201382638911,0.0034336447146638086
2018-12-28,0.015035424071059933,0.014764694951954477,0.014043950843907718
2018-12-31,0.005254262427972681,0.005663986916814722,0.005800839498352539
2019-01-01,-0.005122911048910508,-0.005607379493782972,-0.0063927049962491655
2019-01-02,-0.008310405363320061,-0.009929234506313413,-0.01223036307219797
2019-01-03,-0.007148858956483287,-0.008176013891715097,-0.008549409816889696
2019-01-04,2.044084321313773e-05,0.0008286215665966703,0.00171650368248204
2019-01-07,0.0017090903383250972,0.0015009794092691753,0.0027083254591169
2019-01-08,0.008708412742912485,0.007794341389299298,0.0041869689003714355
2019-01-09,0.0006011090060265606,-5.778254557606678e-05,-0.0024631637615947
2019-01-10,-0.0026853880849291543,-0.0028401730917309216,-0.0013738954158571631
2019-01-11,-0.0019219270202770753,-0.00173683580111331,-0.0026989315793815027
2019-01-14,-0.0032263704723008136,-0.0036432555700954172,-0.006587146790248811
2019-01-15,0.013213499792849309,0.01335214540963608,0.014844586290804918
2019-01-16,-0.006423295260420121,-0.006090045067204302,-0.005241074303378335
2019-01-17,-0.011900378424843783,-0.011564247605494316,-0.00524103623168828
2019-01-18,-0.014994993687021459,-0.013580520642916125,-0.008424656254735008
2019-01-21,0.0028076950434805896,0.0024632635168976404,0.0011195432430234577
2019-01-22,0.004009116075586197,0.002572508170585878,-0.002205352976845876
2019-01-23,0.00974601703904013,0.009467016955212841,0.008501682643173414
2019-01-24,-0.0025433976867514636,-0.002313918939713084,-2.015724109076804e-05
2019-01-25,-0.007340519140338453,-0.007825039616573336,-0.00872411273332191
2019-01-28,-0.011796539196031703,-0.012616472845951167,-0.01376022129967196
2019-01-29,0.008867664852838799,0.008780545586172642,0.007982931772946856
2019-01-30,-0.003906245370139879,-0.0029507517339950225,0.00042395335006040224
2019-01-31,0.013517749766594804,0.013860761501019201,0.013106236206877654
2019-02-01,0.0027955467068649206,0.002996686688006552,-0.008168440551694156
2019-02-04,-0.0030941044325609496,-0.003783643386338176,-0.002790528578962681
2019-02-05,-0.0036357545909494787,-0.0032357616993888083,-0.004897476917645895
2019-02-06,0.013700536565152724,0.014629091444485383,0.014901703649654421
2019-02-07,0.009221066358278676,0.007876059505569761,0.00568409129494637
2019-02-08,-0.022599179178334122,-0.022242731032565508,-0.024831766097863053
2019-02-11,-0.015452479744636073,-0.01586890597022082,-0.016155178943392377
2019-02-12,0.004208033185526368,0.004438103615976077,0.0009730733808707699
2019-02-13,0.0,0.0,0.0
2019-02-14,-0.009511884973009048,-0.009823620807985059,-0.013392796549506602
2019-02-15,-0.017492071171719432,-0.01763586867246787,-0.01662860730839605
2019-02-18,-0.008995542189176333,-0.009355764369976285,-0.007136054417465032
2019-02-19,0.004858320137056172,0.00541633109908146,0.007318784945211276
2019-02-20,0.017466803920154903,0.0183592086126229,0.021861591619769354
2019-02-21,0.01407359385776424,0.013808611047304024,0.015777702781715443
2019-02-22,0.009372494538101597,0.009848951652380023,0.010624957941326164
2019-02-25,0.006058925805304175,0.0058216369315913525,0.0073360760584684
2019-02-26,-0.0011454807165118418,-0.0012763117629812418,-0.0008618482256862237
2019-02-27,-0.0026604662077241953,-0.0027391744923057596,-0.003818846992465497
2019-02-28,0.0043522670335629475,0.004039825118494293,0.004686356983453245
2019-03-01,0.00047203581270109185,0.000700824462975371,0.0024179431210079373
2019-03-04,0.0,0.0,0.0
2019-03-05,0.013755839490493922,0.014455441926107314,0.015125662422837216
2019-03-06,-0.002729085607408395,-0.0017535942924222499,0.0005324434383954463
2019-03-07,-0.007656968085002255,-0.0074604166324646615,-0.006544483739883755
2019-03-08,-0.0048978201992307315,-0.005747859290819595,-0.006347607668783828
2019-03-11,0.01713937374203118,0.01761157268766597,0.019907788857365508
2019-03-12,0.008828367411913366,0.008543133769826603,0.007102404031864906
2019-03-13,-0.006323013481972297,-0.006596700311615805,-0.00726022434236977
2019-03-14,0.005070678873451766,0.004172231928187151,0.003061858481260237
2019-03-15,-0.007601906195221814,-0.006884310827867513,-0.00642808815562751
2019-03-18,0.005444800574736661,0.005431622128240228,0.0061002288259184075
2019-03-19,0.0058920953587629854,0.005722065257979374,0.006052556840878632
2019-03-20,-0.006050381977100752,-0.005194648692295945,-0.004228973619541965
2019-03-21,0.0,0.0,0.0
2019-03-22,0.002542900342516063,0.002983698535464247,0.0037355405344287607
2019-03-25,-0.006234715972774172,-0.006858921042869147,-0.00880819717883936
2019-03-26,0.012307404607587863,0.012523775122208699,0.014168714736214838
2019-03-27,0.0013628513595993407,0.001244330434384468,0.0012394790753830986
2019-03-28,0.005377765484136888,0.004056632976570007,0.004520863272723052
2019-03-29,0.0,0.0,0.0
2019-04-01,0.008057828261149275,0.011211514530849257,0.01580958250519222
2019-04-02,-0.006927488964806384,-0.006336346960644033,-0.006546458871898675
2019-04-03,-0.005002844434982002,-0.004833007955790563,-0.0034893351131398465
2019-04-04,0.0014249179295262242,0.0002497467748408047,0.0020868499071769577
2019-04-05,0.002838321855799008,0.004387388567884652,0.0062599747078896486
2019-04-08,-0.004572818104933467,-0.004718134719650819,-0.007659999583612265
2019-04-09,0.0025845391440322022,0.0029360941775706173,0.0022647830787256296
2019-04-10,-0.0026631918942673386,-0.0036831684052111686,-0.005169223367734987
2019-04-11,-0.002597218164305627,-0.002350505062068636,-0.004704442065977932
2019-04-12,0.004855905887343363,0.004137255051041241,0.005541301934042685
2019-04-15,-0.00046180903460801864,0.0007301015351092114,0.003218116058691978
2019-04-16,0.011288616015577076,0.011071721730014984,0.010641407731730702
2019-04-17,0.0,0.0,0.0
2019-04-18,-0.0017512994278216579,-0.0022115680553939886,-0.0053266993914429465
2019-04-22,-0.013826264947462027,-0.01487342233570498,-0.015334202245728502
2019-04-23,0.008772937210450754,0.007882435406690869,0.004411680956329878
2019-04-24,0.006564041313469246,0.006890799383048007,0.005968091763702875
2019-04-25,-0.009108337785183617,-0.009258184888043197,-0.006958287518078578
2019-04-26,0.007799787426486909,0.008636033949312978,0.007373483779385781
2019-04-29,0.0,0.0,0.0
2019-04-30,0.003569667422453313,0.0054579477560645195,0.0023896171032839154
2019-05-01,0.0,0.0,0.0
2019-05-02,-0.01441942754983265,-0.013272756268276203,-0.011701130327822051
2019-05-03,-0.004209157986649163,-0.0034730371603840567,-0.004263047292670286
2019-05-06,-0.012614051254386253,-0.013752577542476597,-0.013441448863494122
2019-05-07,-0.0021468416373875633,-0.002115788773637456,-0.0037926783437329473
2019-05-08,-0.009639322676828408,-0.008875867995038351,-0.0080651009843846
2019-05-09,-0.0018301668788080726,-0.002849888892212551,-0.005796059679340727
2019-05-10,-0.0072746350006256425,-0.007548872487167075,-0.007803372229962891
2019-05-13,-0.02306890825150569,-0.022434284211902022,-0.01740147353785838
2019-05-14,0.012064468610914543,0.011421701594537566,0.010917696780109308
2019-05-15,-0.01441679272714931,-0.014786074460334041,-0.011307206440561967
2019-05-16,0.011528023249355314,0.012431219328229782,0.013823350471262976
2019-05-17,0.008418219188247509,0.007389193675512761,0.0056768432170517195
2019-05-20,0.02793977553936948,0.02899926189900355,0.03130202252275354
2019-05-21,-0.006883868180476926,-0.007248595429865758,-0.005921981658998689
2019-05-22,0.0069513022786647435,0.006344679812856899,0.004470135168442213
2019-05-23,-0.009872419683569965,-0.010320957364604902,-0.009903695226978593
2019-05-24,0.008476729920578574,0.009791683123092872,0.01213717605032023
2019-05-27,0.008107078509337328,0.008335881934898084,0.011030593660382115
2019-05-28,0.004255413362381671,0.00473699366126707,0.005939181466854893
2019-05-29,-0.0017543508093583243,-0.003364886353818018,-0.005486998976218193
2019-05-30,-0.006548430577513244,-0.006588623805075149,-0.006267691656900054
2019-05-31,0.0029213791061657632,0.0021297572031150147,0.0023620608471827346
2019-06-03,0.01827409739040544,0.017952787123229716,0.017393840894353828
2019-06-04,-0.010949332214763317,-0.011046414915088424,-0.01052907391870661
2019-06-05,0.0,0.0,0.0
2019-06-06,-0.0070978466590358,-0.00779953481649721,-0.010993004099817405
2019-06-07,-0.007495989897098028,-0.007188962143001611,-0.004734132752085497
2019-06-10,0.00917528918706652,0.009083656475067124,0.009861071812182275
2019-06-11,-0.0006615681621058903,0.000451136621995609,0.0036968360999378056
2019-06-12,0.002706018260614123,0.0021293151478767093,0.0012794835543216369
2019-06-13,-0.0014413623155521953,-0.0008398125150839079,-0.0005187000606353354
2019-06-14,-0.005222739725872224,-0.005519128979143365,-0.005832704361584539
2019-06-17,-0.01817737198331508,-0.018902625065445416,-0.020613566262185468
2019-06-18,-0.0022374895045456297,-0.002142633065368643,0.001178121003117894
2019-06-19,0.0001755167820919949,-0.00016740482418935735,0.00036309881222342807
2019-06-20,0.019273819674095232,0.019874270475053767,0.018842045077138707
2019-06-21,-0.010157712179947964,-0.009164291206857777,-0.0056551021945497664
2019-06-24,-0.00847801171119502,-0.008975023227176065,-0.01034866152975218
2019-06-25,0.006938840375428919,0.007865485741698491,0.010024109133965375
2019-06-26,0.01477737077964482,0.01604964072863597,0.014881633328412913
2019-06-27,0.00429656833216617,0.0038371651815670045,0.0018304475071828862
2019-06-28,-0.0005818791090367758,-0.0008378971614192933,-0.0015714619261894994
2019-07-01,-0.004701874018760076,-0.0044348051148550074,-0.005447131595999733
2019-07-02,0.001498546383519749,0.0015217656364055429,0.0034365415210151685
2019-07-03,-0.0006622002260396503,-0.0006088257441860985,-0.000931891640226612
2019-07-04,0.0005343914976328741,-0.00010680628105217251,0.0007475139433272713
2019-07-05,-0.018840005434787276,-0.02028692344362991,-0.02017020590444345
2019-07-08,-0.020072270328051228,-0.01958190216317734,-0.018589906665742464
2019-07-09,0.006805035183327399,0.0065843621152947155,0.003959759294177046
2019-07-10,-0.006722329192755585,-0.007569404021440923,-0.007600629164723606
2019-07-11,0.013138036169148,0.01444628005135504,0.014113718682570487
2019-07-12,0.0053425458265501085,0.004994418001256798,0.005853075553236098
2019-07-15,0.006777880928609989,0.0070559698005467075,0.003891750847795349
2019-07-16,0.012704049951911392,0.011958753438885968,0.008414685143534184
2019-07-17,0.002459191793423083,0.0027718148949878274,0.004529035069965981
2019-07-18,-0.014373640371220645,-0.015170162850757942,-0.01454856369918831
2019-07-19,-0.012090218261505047,-0.012355754461163592,-0.013289034983400862
2019-07-22,0.006524564666029662,0.008074683908706935,0.009725741096184293
2019-07-23,0.0029136603924653217,0.002689069432196486,0.0020299259266655656
2019-07-24,-0.0033518420999947966,-0.0038691087233775397,-0.007241455832457333
2019-07-25,0.006132387412896859,0.006311629136853241,0.008997545835177157
2019-07-26,0.0028382099893765732,0.0018046536830415116,-0.00010369381048017665
2019-07-29,-0.01456751688281463,-0.015939180023830216,-0.017303450186989443
2019-07-30,-0.0192579653275397,-0.01974139461790669,-0.01968441200930208
2019-07-31,0.013278108150868884,0.013484370205430942,0.008968403865793995
2019-08-01,-0.014302945626627903,-0.015969318181679446,-0.01893350857135846
