,Ann. Return,Ann. Vol,Sharpe,Sortino,Max DD,Calmar,Hit Rate,Obs
BL,0.16687211770141386,0.16753872410292206,0.6294107328121739,0.8929012743752203,-0.2992937236003838,0.5575530141227454,0.5197568389057751,1974.0
MarketCap,0.1709696157027234,0.17103263293701398,0.6406284012168687,0.903621310527403,-0.32403587490207764,0.5276255777370014,0.5212765957446809,1974.0
EqualWeight,0.1709273832128848,0.18087352875512278,0.6154116051723029,0.8551399816767252,-0.3597819814744562,0.4750860021182587,0.5207700101317123,1974.0
